iter	Passed	Remaining
404	8694	2039
405	8714	2017
406	8734	1995
407	8754	1974
408	8774	1952
409	8795	1930
410	8815	1908
411	8836	1887
412	8856	1865
413	8877	1844
414	8898	1822
415	8917	1800
416	8937	1778
417	8956	1756
418	8979	1735
419	9001	1714
420	9022	1693
421	9043	1671
422	9064	1650
423	9084	1628
424	9106	1606
425	9126	1585
426	9146	1563
427	9166	1542
428	9188	1520
429	9208	1499
430	9228	1477
431	9248	1455
432	9269	1434
433	9290	1412
434	9309	1391
435	9331	1369
436	9351	1348
437	9372	1326
438	9392	1305
439	9411	1283
440	9432	1261
441	9452	1240
442	9472	1218
443	9492	1197
444	9512	1175
445	9533	1154
446	9553	1132
447	9574	1111
448	9596	1090
449	9617	1068
450	9645	1048
451	9666	1026
452	9686	1005
453	9706	983
454	9726	961
455	9746	940
456	9768	919
457	9788	897
458	9809	876
459	9831	854
460	9852	833
461	9873	812
462	9893	790
463	9913	769
464	9934	747
465	9954	726
466	9977	705
467	9999	683
468	10021	662
469	10041	640
470	10062	619
471	10082	598
472	10104	576
473	10125	555
474	10144	533
475	10166	512
476	10187	491
477	10209	469
478	10229	448
479	10250	427
480	10270	405
481	10291	384
482	10312	362
483	10332	341
484	10352	320
485	10372	298
486	10393	277
487	10414	256
488	10434	234
489	10456	213
490	10476	192
491	10496	170
492	10516	149
493	10536	127
494	10558	106
495	10580	85
496	10602	64
497	10624	42
498	10644	21
499	10666	0
