iter	RMSE
387	1.320180374
388	1.319545757
389	1.319491109
390	1.319436369
391	1.318506581
392	1.317823162
393	1.317270524
394	1.316911317
395	1.316357821
396	1.315524638
397	1.314973647
398	1.314562377
399	1.314034701
400	1.313785749
401	1.312956541
402	1.312834267
403	1.312752647
404	1.312030992
405	1.311982828
406	1.311363268
407	1.310773876
408	1.310141632
409	1.309719568
410	1.309599633
411	1.308975574
412	1.308320618
413	1.308059662
414	1.30767116
415	1.307308405
416	1.307055322
417	1.306313982
418	1.305487743
419	1.304857143
420	1.30415063
421	1.303371816
422	1.302850561
423	1.302478664
424	1.301863963
425	1.301307568
426	1.301268583
427	1.301110941
428	1.30033631
429	1.300298418
430	1.300054723
431	1.299668578
432	1.299003733
433	1.298423273
434	1.298089907
435	1.297513195
436	1.29721711
437	1.296960017
438	1.296377761
439	1.295694383
440	1.295443266
441	1.295108645
442	1.294906132
443	1.294619894
444	1.293785973
445	1.293187919
446	1.292598934
447	1.292191513
448	1.291776012
449	1.290963254
450	1.290269393
451	1.289686771
452	1.289628152
453	1.288971829
454	1.288375292
455	1.287709774
456	1.287292105
457	1.287055313
458	1.286257925
459	1.285595856
460	1.285354716
461	1.284677508
462	1.284396422
463	1.283802335
464	1.283138165
465	1.282937148
466	1.282439378
467	1.281878055
468	1.281287219
469	1.281012786
470	1.280510628
471	1.279969283
472	1.279458172
473	1.278879352
474	1.278846458
475	1.278710652
476	1.278112412
477	1.277730035
478	1.277690697
479	1.27764203
480	1.277120316
481	1.276702054
482	1.276120659
483	1.275569983
484	1.275119504
485	1.274955194
486	1.274338337
487	1.273636493
488	1.273608277
489	1.272903265
490	1.272463539
491	1.272244505
492	1.272216774
493	1.272183666
494	1.271309455
495	1.270909903
496	1.270340874
497	1.269732706
498	1.269347535
499	1.269003941
